,0,1,2,3,4,5
Metric,Max,Min,Mean,Median,Variance,Sum
A-1.独自性(Cos距離),0.416,0.087,0.179,0.162,0.004,5.543
A-1.独自性_ドラフト時点,0.274,0.093,0.164,0.155,0.002,5.095
A-1.独自性_改善度,0.157,-0.047,0.014,0.009,0.001,0.448
A-2.独自キーワード(割合),0.631,0.0,0.222,0.221,0.018,6.889
A-2.独自キーワード(TF-IDF),1.439,0.0,0.501,0.502,0.089,15.539
A-2.Top10キーワード(TF-IDF),2.54,1.899,2.259,2.267,0.022,70.025
B-1.評価ランク(対応値),1.0,-0.5,0.323,0.4,0.204,10.0
B-2.実現度合(Cos類似度),0.999,0.73,0.922,0.934,0.003,28.584
B-3.論点再現度(割合),1.0,0.0,0.487,0.5,0.065,15.1
C-1.知識活用性_Opinion,0.154,0.0,0.01,0.0,0.001,0.302
C-2.知識活用性_Policy,0.028,0.0,0.002,0.0,0.0,0.052
C-3.知識活用性_Communication,0.0,0.0,0.0,0.0,0.0,0.0
