speaker,situation,quote
ブルース・リー,インタビューで自身の哲学を語る,友よ、水のようになれ。
スティーブ・ジョブズ,スタンフォード大学卒業式スピーチ,ハングリーであれ。愚かであれ。
アルバート・アインシュタイン,創造性について問われて,想像力は知識よりも重要だ。
岡本太郎,講演会で自己表現を語る,自分の中に毒を持たなければならない。
ピカソ,若手芸術家へアドバイス,規則をプロのように学び、それを芸術家のように壊せ。
ガンディー,平和運動への姿勢として,あなたが見たい世界の変化そのものになりなさい。
マザー・テレサ,慈善活動の中で語る,偉大なことではなく、愛をこめて小さなことを。
宮本武蔵,『五輪書』執筆中,千日の稽古を鍛とし、万日の稽古を錬とする。
ジェフ・ベゾス,Amazonの挑戦精神について,実験を倍増すれば、創造性も倍増する。
野村克也,指導者として若手に,苦労は、買ってでもするべきだ。
ウォーレン・バフェット,投資判断について語る,リスクは、何に取り組んでいるのか分からない時に生じる。
チャーチル,戦時下で国民を鼓舞する演説中,成功は最終的なものではなく、失敗は致命的ではない。
孫子,『孫子の兵法』より,勝つ者は、まず勝ちを考え、それから戦いを求める。
マイケル・ジョーダン,キャリアの失敗について語る,人生で何度も失敗した。それが成功の理由だ。
レオナルド・ダ・ヴィンチ,シンプルさを追求し,単純さとは、究極の洗練である。
J.R.R. トールキン,物語のテーマとして,彷徨う者すべてが迷子ではない。
林修,授業中の一言,いつやるのか？ 今でしょ！
マーク・トウェイン,進むべき最初の一歩について,前に進む秘密は、最初の一歩を踏み出すことだ。
コービー・ブライアント,競技人生について語り,休むのは終わった時だ。途中ではない。
ピーター・ドラッカー,未来を語る中で,未来を予測する最善の方法は、それを創造することだ。
ダーウィン,進化論を説明する中で,生き延びるのは最も強い種ではなく、変化に対応した種だ。
チャールズ・ディケンズ,社会改革について,何事も遅すぎるということはない。
岡倉天心,美の哲学を表現し,茶の湯は一服の安らぎ。
ザッカーバーグ,スタートアップの精神で,迅速に動き、物事を壊す。それが成長する唯一の道だ。
ジョン・F・ケネディ,就任演説での一言,国があなたに何をしてくれるかではなく、あなたが国に何をできるかを問え。
マイケル・フェルプス,トレーニング論で,痛みは一時的だが、諦めたらそれが永遠になる。
トルストイ,変革について問われ,誰もが世界を変えたいと思うが、自己を変えたいとは思わない。
アンネ・フランク,日記の中で希望を持って,どうやら自然と良い方向へ進むと信じている。
ブルース・スプリングスティーン,音楽と人生の情熱について,夢は無料だが、努力はその代価だ。
野口英世,使命感について記した言葉,志を高く掲げよ。それが祖国への最高の感謝である。
